"regions","iso3","name","year","boreal","temperate","tropical","subtropical","1d_expansion","1d_afforestation","1d_nat_exp","1d_deforestation","1e_reforestation"
"International Tropical Timber Organization, Africa, Espace COMIFAC","CMR","Cameroon","2000-2010",0,0,100,0,"2.00","2.00","0.00","71.70",
"International Tropical Timber Organization, Africa, Espace COMIFAC","CMR","Cameroon","2010-2015",0,0,100,0,"2.00","2.00","0.00","58.00",
"International Tropical Timber Organization, Africa, Espace COMIFAC","CMR","Cameroon","2015-2020",0,0,100,0,"2.00","2.00","0.00","58.00",
"International Tropical Timber Organization, Africa, Espace COMIFAC","COD","Democratic Republic of the Congo","1990-2000",0,0,100,0,,,,,
"International Tropical Timber Organization, Africa, Espace COMIFAC","COD","Democratic Republic of the Congo","2000-2010",0,0,100,0,,,,,
"International Tropical Timber Organization, Africa, Espace COMIFAC","COD","Democratic Republic of the Congo","2010-2015",0,0,100,0,,,,,
"International Tropical Timber Organization, Africa, Espace COMIFAC","COD","Democratic Republic of the Congo","2015-2020",0,0,100,0,,,,,
"International Tropical Timber Organization, Espace COMIFAC, Africa","COG","Congo","1990-2000",0,0,100,0,"0.00","0.00","0.00","12.00","0.00"
"International Tropical Timber Organization, Espace COMIFAC, Africa","COG","Congo","2000-2010",0,0,100,0,"0.00","0.00","0.00","12.00","0.00"
"International Tropical Timber Organization, Espace COMIFAC, Africa","COG","Congo","2010-2015",0,0,100,0,"0.00","0.00","0.00","12.00","0.00"
"International Tropical Timber Organization, Espace COMIFAC, Africa","COG","Congo","2015-2020",0,0,100,0,"0.00","0.00","0.00","13.80","0.00"
"Oceania","COK","Cook Islands","1990-2000",0,0,100,0,,,,,
"Oceania","COK","Cook Islands","2000-2010",0,0,100,0,,,,,
"Oceania","COK","Cook Islands","2010-2015",0,0,100,0,,,,,
"Oceania","COK","Cook Islands","2015-2020",0,0,100,0,,,,,
"South America, International Tropical Timber Organization","COL","Colombia","1990-2000",0,0,100,0,"6.87","6.87",,"229.13","119.31"
"South America, International Tropical Timber Organization","COL","Colombia","2000-2010",0,0,100,0,"21.56","21.56",,"214.33","252.81"
"South America, International Tropical Timber Organization","COL","Colombia","2010-2015",0,0,100,0,"8.54","8.54",,"143.17","434.31"
"South America, International Tropical Timber Organization","COL","Colombia","2015-2020",0,0,100,0,"0.68","0.68",,"199.23","496.91"
"Africa","COM","Comoros","1990-2000",0,0,100,0,,,,,
"Africa","COM","Comoros","2000-2010",0,0,100,0,,,,,
"Africa","COM","Comoros","2010-2015",0,0,100,0,,,,,
"Africa","COM","Comoros","2015-2020",0,0,100,0,,,,,
"Africa","CPV","Cabo Verde","1990-2000",0,0,100,0,,,,,
"Africa","CPV","Cabo Verde","2000-2010",0,0,100,0,"3.14","3.14",,"2.84","0.30"
"Africa","CPV","Cabo Verde","2010-2015",0,0,100,0,"2.20","2.20",,"1.90",
"Africa","CPV","Cabo Verde","2015-2020",0,0,100,0,"1.12","1.12",,"0.82",
"North and Central America, International Tropical Timber Organization","CRI","Costa Rica","1990-2000",0,0,100,0,"4.77","4.77","0.00","9.79","4.77"
"North and Central America, International Tropical Timber Organization","CRI","Costa Rica","2000-2010",0,0,100,0,"4.05","3.50","0.55","2.65","3.50"
"North and Central America, International Tropical Timber Organization","CRI","Costa Rica","2010-2015",0,0,100,0,"16.37","3.84","12.53","0.00","3.84"
"North and Central America, International Tropical Timber Organization","CRI","Costa Rica","2015-2020",0,0,100,0,"16.37","2.11","14.26","0.00","2.11"
"North and Central America","CUB","Cuba","1990-2000",0,0,100,0,"37.70",,,"0.00","0.00"
"North and Central America","CUB","Cuba","2000-2010",0,0,100,0,"49.70",,,"0.00","0.00"
"North and Central America","CUB","Cuba","2010-2015",0,0,100,0,"50.40",,,"0.00","0.00"
"North and Central America","CUB","Cuba","2015-2020",0,0,100,0,"11.60",,,"0.00","0.00"
"North and Central America","CUW","Curaçao","1990-2000",0,0,100,0,,,,,"0.00"
"North and Central America","CUW","Curaçao","2000-2010",0,0,100,0,,,,,"0.00"
"North and Central America","CUW","Curaçao","2010-2015",0,0,100,0,,,,,"0.00"
"North and Central America","CUW","Curaçao","2015-2020",0,0,100,0,,,,,"0.00"
"North and Central America","CYM","Cayman Islands","1990-2000",0,0,100,0,"0.00",,,"0.02","0.00"
"North and Central America","CYM","Cayman Islands","2000-2010",0,0,100,0,"0.00",,,"0.02","0.00"
"North and Central America","CYM","Cayman Islands","2010-2015",0,0,100,0,"0.00",,,"0.00","0.00"
"North and Central America","CYM","Cayman Islands","2015-2020",0,0,100,0,"0.00",,,"0.00","0.00"
"UNECE, EU-27, International Tropical Timber Organization, Asia, FOREST EUROPE","CYP","Cyprus","1990-2000",0,0,0,100,,"0.26",,,"0.26"
"UNECE, EU-27, International Tropical Timber Organization, Asia, FOREST EUROPE","CYP","Cyprus","2000-2010",0,0,0,100,,"0.21",,,"0.29"
"UNECE, EU-27, International Tropical Timber Organization, Asia, FOREST EUROPE","CYP","Cyprus","2010-2015",0,0,0,100,,"0.02",,,"0.07"
"UNECE, EU-27, International Tropical Timber Organization, Asia, FOREST EUROPE","CYP","Cyprus","2015-2020",0,0,0,100,,"0.01",,,"0.31"
"EU-27, FOREST EUROPE, International Tropical Timber Organization, UNECE, Europe","CZE","Czechia","1990-2000",0,100,0,0,,,,,"27.93"
