"regions","iso3","name","year","boreal","temperate","tropical","subtropical","1d_expansion","1d_afforestation","1d_nat_exp","1d_deforestation","1e_reforestation"
"Espace COMIFAC, Africa","STP","Sao Tome and Principe","2015-2020",0,0,100,0,"0.00",,,"0.62",
"South America, International Tropical Timber Organization","SUR","Suriname","1990-2000",0,0,100,0,"0.00",,,"3.68",
"South America, International Tropical Timber Organization","SUR","Suriname","2000-2010",0,0,100,0,"0.01",,,"4.11",
"South America, International Tropical Timber Organization","SUR","Suriname","2010-2015",0,0,100,0,"0.22",,,"9.86",
"South America, International Tropical Timber Organization","SUR","Suriname","2015-2020",0,0,100,0,"0.57",,,"11.65",
"EU-27, FOREST EUROPE, UNECE, International Tropical Timber Organization, Europe","SVK","Slovakia","1990-2000",0,100,0,0,,"2.09",,,"12.66"
"EU-27, FOREST EUROPE, UNECE, International Tropical Timber Organization, Europe","SVK","Slovakia","2000-2010",0,100,0,0,,"0.20",,,"9.61"
"EU-27, FOREST EUROPE, UNECE, International Tropical Timber Organization, Europe","SVK","Slovakia","2010-2015",0,100,0,0,,"0.06",,,"10.91"
"EU-27, FOREST EUROPE, UNECE, International Tropical Timber Organization, Europe","SVK","Slovakia","2015-2020",0,100,0,0,,"0.12",,,"10.47"
"UNECE, Europe, FOREST EUROPE, International Tropical Timber Organization, EU-27","SVN","Slovenia","1990-2000",0,95,0,5,"4.50","0.00","4.50","0.00",
"UNECE, Europe, FOREST EUROPE, International Tropical Timber Organization, EU-27","SVN","Slovenia","2000-2010",0,95,0,5,"1.78","0.00","1.78","0.38","0.56"
"UNECE, Europe, FOREST EUROPE, International Tropical Timber Organization, EU-27","SVN","Slovenia","2010-2015",0,95,0,5,"0.50","0.00","0.50","0.30","0.31"
"UNECE, Europe, FOREST EUROPE, International Tropical Timber Organization, EU-27","SVN","Slovenia","2015-2020",0,95,0,5,"0.00","0.00","0.00","2.03","0.35"
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe, EU-27","SWE","Sweden","1990-2000","73.50","26.50",0,0,"21.49","8.87","12.62","11.49","122.45"
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe, EU-27","SWE","Sweden","2000-2010","73.50","26.50",0,0,"11.82","11.82","0.00","20.82","126.99"
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe, EU-27","SWE","Sweden","2010-2015","73.50","26.50",0,0,"19.55","19.55","0.00","38.15","166.81"
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe, EU-27","SWE","Sweden","2015-2020","73.50","26.50",0,0,"13.05","13.05","0.00","13.05","134.72"
"Africa","SWZ","Eswatini","1990-2000",0,0,83,17,,,,,"26.70"
"Africa","SWZ","Eswatini","2000-2010",0,0,83,17,,,,,"20.30"
"Africa","SWZ","Eswatini","2010-2015",0,0,83,17,,,,,"25.80"
"Africa","SWZ","Eswatini","2015-2020",0,0,83,17,,,,,"27.00"
"North and Central America","SXM","Sint Maarten (Dutch part)","1990-2000",0,0,100,0,,,,,"0.00"
"North and Central America","SXM","Sint Maarten (Dutch part)","2000-2010",0,0,100,0,,,,,"0.00"
"North and Central America","SXM","Sint Maarten (Dutch part)","2010-2015",0,0,100,0,,,,,"0.00"
"North and Central America","SXM","Sint Maarten (Dutch part)","2015-2020",0,0,100,0,,,,,"0.00"
"Africa","SYC","Seychelles","1990-2000",0,0,100,0,,,,,
"Africa","SYC","Seychelles","2000-2010",0,0,100,0,,,,,
"Africa","SYC","Seychelles","2010-2015",0,0,100,0,,,,,
"Africa","SYC","Seychelles","2015-2020",0,0,100,0,,,,,
"Asia","SYR","Syrian Arab Republic","1990-2000",0,0,0,100,"83.25",,,"77.25",
"Asia","SYR","Syrian Arab Republic","2000-2010",0,0,0,100,"51.05",,,"46.18",
"Asia","SYR","Syrian Arab Republic","2010-2015",0,0,0,100,"15.49",,,"11.94",
"Asia","SYR","Syrian Arab Republic","2015-2020",0,0,0,100,"0.05",,,,
"North and Central America","TCA","Turks and Caicos Islands","1990-2000",0,0,100,0,,,,,
"North and Central America","TCA","Turks and Caicos Islands","2000-2010",0,0,100,0,,,,,
"North and Central America","TCA","Turks and Caicos Islands","2010-2015",0,0,100,0,,,,,
"North and Central America","TCA","Turks and Caicos Islands","2015-2020",0,0,100,0,,,,,
"Africa, Espace COMIFAC","TCD","Chad","1990-2000",0,0,100,0,,,,,"0.30"
"Africa, Espace COMIFAC","TCD","Chad","2000-2010",0,0,100,0,,,,,"0.30"
"Africa, Espace COMIFAC","TCD","Chad","2010-2015",0,0,100,0,,,,,"0.30"
"Africa, Espace COMIFAC","TCD","Chad","2015-2020",0,0,100,0,,,,,"0.30"
"Africa, International Tropical Timber Organization","TGO","Togo","1990-2000",0,0,100,0,"1.00","1.00",,"10.32","0.82"
"Africa, International Tropical Timber Organization","TGO","Togo","2000-2010",0,0,100,0,"1.50","1.50",,"4.46","0.64"
"Africa, International Tropical Timber Organization","TGO","Togo","2010-2015",0,0,100,0,"2.00","2.00",,"4.96","1.30"
"Africa, International Tropical Timber Organization","TGO","Togo","2015-2020",0,0,100,0,"2.00","2.00",,"4.96",
"International Tropical Timber Organization, Asia","THA","Thailand","1990-2000",0,0,100,0,"26.70","26.70","0.00","63.00","30.60"
"International Tropical Timber Organization, Asia","THA","Thailand","2000-2010",0,0,100,0,"125.50","125.50","0.00","18.00","43.33"
"International Tropical Timber Organization, Asia","THA","Thailand","2010-2015",0,0,100,0,"92.00","92.00","0.00","94.40","14.98"
"International Tropical Timber Organization, Asia","THA","Thailand","2015-2020",0,0,100,0,"0.00","0.00","0.00","37.60","8.45"
"UNECE, Asia","TJK","Tajikistan","1990-2000",0,"100.00",0,0,,,,,"2.00"
"UNECE, Asia","TJK","Tajikistan","2000-2010",0,"100.00",0,0,,,,,"2.00"
"UNECE, Asia","TJK","Tajikistan","2010-2015",0,"100.00",0,0,,,,,"2.00"
"UNECE, Asia","TJK","Tajikistan","2015-2020",0,"100.00",0,0,,,,,"2.00"
"Oceania","TKL","Tokelau","1990-2000",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Oceania","TKL","Tokelau","2000-2010",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Oceania","TKL","Tokelau","2010-2015",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Oceania","TKL","Tokelau","2015-2020",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Asia, UNECE","TKM","Turkmenistan","1990-2000",0,89,0,11,,,,,
"Asia, UNECE","TKM","Turkmenistan","2000-2010",0,89,0,11,,,,,
"Asia, UNECE","TKM","Turkmenistan","2010-2015",0,89,0,11,,,,,
"Asia, UNECE","TKM","Turkmenistan","2015-2020",0,89,0,11,,,,,
"Asia","TLS","Timor-Leste","1990-2000",0,0,100,0,,,,,
"Asia","TLS","Timor-Leste","2000-2010",0,0,100,0,,,,,
"Asia","TLS","Timor-Leste","2010-2015",0,0,100,0,,,,,
"Asia","TLS","Timor-Leste","2015-2020",0,0,100,0,,,,,
"Oceania","TON","Tonga","1990-2000",0,0,100,0,,,,,
"Oceania","TON","Tonga","2000-2010",0,0,100,0,,,,,
"Oceania","TON","Tonga","2010-2015",0,0,100,0,,,,,
"Oceania","TON","Tonga","2015-2020",0,0,100,0,,,,,
"North and Central America, International Tropical Timber Organization","TTO","Trinidad and Tobago","1990-2000",0,0,100,0,,,,,
"North and Central America, International Tropical Timber Organization","TTO","Trinidad and Tobago","2000-2010",0,0,100,0,,,,,
"North and Central America, International Tropical Timber Organization","TTO","Trinidad and Tobago","2010-2015",0,0,100,0,,,,,
"North and Central America, International Tropical Timber Organization","TTO","Trinidad and Tobago","2015-2020",0,0,100,0,,,,,
"Africa","TUN","Tunisia","1990-2000",0,0,0,100,"6.71","6.71","0.00","4.32","4.47"
"Africa","TUN","Tunisia","2000-2010",0,0,0,100,"6.30","6.30","0.00","4.34","4.20"
"Africa","TUN","Tunisia","2010-2015",0,0,0,100,"2.95","2.95","0.00","1.42","1.97"
"Africa","TUN","Tunisia","2015-2020",0,0,0,100,"2.10","2.10","0.00","0.57","1.40"
"Asia, UNECE, FOREST EUROPE","TUR","Turkey","1990-2000",0,12,0,88,"38.71","22.65","16.06","2.22","60.08"
"Asia, UNECE, FOREST EUROPE","TUR","Turkey","2000-2010",0,12,0,88,"94.85","62.91","31.94","1.38","76.71"
"Asia, UNECE, FOREST EUROPE","TUR","Turkey","2010-2015",0,12,0,88,"110.47","75.36","35.11","1.03","104.76"
"Asia, UNECE, FOREST EUROPE","TUR","Turkey","2015-2020",0,12,0,88,"119.18","80.20","38.98","1.17","118.82"
"Oceania","TUV","Tuvalu","1990-2000",0,0,100,0,,,,,
"Oceania","TUV","Tuvalu","2000-2010",0,0,100,0,,,,,
"Oceania","TUV","Tuvalu","2010-2015",0,0,100,0,,,,,
"Oceania","TUV","Tuvalu","2015-2020",0,0,100,0,,,,,
"Africa","TZA","United Republic of Tanzania","1990-2000",0,0,100,0,"28.00",,,"400.00","15.00"
"Africa","TZA","United Republic of Tanzania","2000-2010",0,0,100,0,"28.00",,,"400.00","25.50"
"Africa","TZA","United Republic of Tanzania","2010-2015",0,0,100,0,"0.00",,,"372.00","27.00"
"Africa","TZA","United Republic of Tanzania","2015-2020",0,0,100,0,"5.00",,,"474.00","27.00"
"Africa","UGA","Uganda","1990-2000",0,0,100,0,"9.84","9.84",,"51.09",
"Africa","UGA","Uganda","2000-2010",0,0,100,0,"9.84","9.84",,"51.09",
"Africa","UGA","Uganda","2010-2015",0,0,100,0,"9.84","9.84",,"51.09",
"Africa","UGA","Uganda","2015-2020",0,0,100,0,"9.84","9.84",,"51.09",
"UNECE, Europe, FOREST EUROPE","UKR","Ukraine","1990-2000",0,100,0,0,"24.10","8.00",,"0.50","20.19"
"UNECE, Europe, FOREST EUROPE","UKR","Ukraine","2000-2010",0,100,0,0,"4.83","4.00",,"1.03","31.25"
"UNECE, Europe, FOREST EUROPE","UKR","Ukraine","2010-2015",0,100,0,0,"22.20","14.50",,"0.40","34.35"
"UNECE, Europe, FOREST EUROPE","UKR","Ukraine","2015-2020",0,100,0,0,"6.70","6.00","0.70","0.10","36.40"
"Montreal Process, South America","URY","Uruguay","1990-2000",0,0,0,100,,,,,
"Montreal Process, South America","URY","Uruguay","2000-2010",0,0,0,100,"36.89","35.00","0.56","0.66","17.53"
"Montreal Process, South America","URY","Uruguay","2010-2015",0,0,0,100,"39.57","18.40","17.51","1.83","36.73"
"Montreal Process, South America","URY","Uruguay","2015-2020",0,0,0,100,,,,,"55.54"
"International Tropical Timber Organization, Montreal Process, UNECE, North and Central America","USA","United States of America","1990-2000","15.00","59.00","0.00","26.00","108.60","59.73","48.90","0.00","592.94"
"International Tropical Timber Organization, Montreal Process, UNECE, North and Central America","USA","United States of America","2000-2010","15.00","59.00","0.00","26.00","518.40","259.00","259.00","0.00","548.26"
"International Tropical Timber Organization, Montreal Process, UNECE, North and Central America","USA","United States of America","2010-2015","15.00","59.00","0.00","26.00","275.00","247.00","28.00","0.00","656.04"
"International Tropical Timber Organization, Montreal Process, UNECE, North and Central America","USA","United States of America","2015-2020","15.00","59.00","0.00","26.00",,,,,"690.87"
"UNECE, Asia","UZB","Uzbekistan","1990-2000",0,100,0,0,"42.00","35.40","5.80","0.79","40.00"
"UNECE, Asia","UZB","Uzbekistan","2000-2010",0,100,0,0,"43.81","38.00","6.20","5.00","42.00"
"UNECE, Asia","UZB","Uzbekistan","2010-2015",0,100,0,0,"41.00","23.10","3.70","1.04","42.00"
"UNECE, Asia","UZB","Uzbekistan","2015-2020",0,100,0,0,"42.20","26.90","4.40","14.15","100.00"
"FOREST EUROPE, Europe","VAT","Holy See","1990-2000",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"FOREST EUROPE, Europe","VAT","Holy See","2000-2010",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"FOREST EUROPE, Europe","VAT","Holy See","2010-2015",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"FOREST EUROPE, Europe","VAT","Holy See","2015-2020",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"North and Central America","VCT","Saint Vincent and the Grenadines","1990-2000",0,0,100,0,,,,,"0.10"
"North and Central America","VCT","Saint Vincent and the Grenadines","2000-2010",0,0,100,0,,,,,"0.05"
"North and Central America","VCT","Saint Vincent and the Grenadines","2010-2015",0,0,100,0,,,,,"0.02"
"North and Central America","VCT","Saint Vincent and the Grenadines","2015-2020",0,0,100,0,,,,,"0.00"
"International Tropical Timber Organization, South America","VEN","Venezuela (Bolivarian Republic of)","1990-2000",0,0,100,0,"16.35","16.35",,"303.85","3.02"
"International Tropical Timber Organization, South America","VEN","Venezuela (Bolivarian Republic of)","2000-2010",0,0,100,0,"19.39","19.39",,"183.99","3.10"
"International Tropical Timber Organization, South America","VEN","Venezuela (Bolivarian Republic of)","2010-2015",0,0,100,0,"17.87","17.87",,"182.27","4.21"
"International Tropical Timber Organization, South America","VEN","Venezuela (Bolivarian Republic of)","2015-2020",0,0,100,0,"17.87","17.87",,"108.29","3.66"
"North and Central America","VGB","British Virgin Islands","1990-2000",0,0,100,0,,,,,
"North and Central America","VGB","British Virgin Islands","2000-2010",0,0,100,0,,,,,
"North and Central America","VGB","British Virgin Islands","2010-2015",0,0,100,0,,,,,
"North and Central America","VGB","British Virgin Islands","2015-2020",0,0,100,0,,,,,
"North and Central America","VIR","United States Virgin Islands","1990-2000",0,0,"0.00","100.00",,,,,
"North and Central America","VIR","United States Virgin Islands","2000-2010",0,0,"0.00","100.00",,,,,
"North and Central America","VIR","United States Virgin Islands","2010-2015",0,0,"0.00","100.00",,,,,
"North and Central America","VIR","United States Virgin Islands","2015-2020",0,0,"0.00","100.00",,,,,
"International Tropical Timber Organization, Asia","VNM","Viet Nam","1990-2000",0,0,95,5,"240.81","117.46","123.40","0.00","89.20"
"International Tropical Timber Organization, Asia","VNM","Viet Nam","2000-2010",0,0,95,5,"160.40","116.37","43.98","0.00","211.62"
"International Tropical Timber Organization, Asia","VNM","Viet Nam","2010-2015",0,0,95,5,"160.62","160.62","0.00","25.86","232.97"
"International Tropical Timber Organization, Asia","VNM","Viet Nam","2015-2020",0,0,95,5,"117.84","97.54","20.30","1.59","241.30"
"Oceania","VUT","Vanuatu","1990-2000",0,0,100,0,,,,,
"Oceania","VUT","Vanuatu","2000-2010",0,0,100,0,,,,,
"Oceania","VUT","Vanuatu","2010-2015",0,0,100,0,,,,,
"Oceania","VUT","Vanuatu","2015-2020",0,0,100,0,,,,,
"Oceania","WLF","Wallis and Futuna Islands","1990-2000",0,0,100,0,,,,,
"Oceania","WLF","Wallis and Futuna Islands","2000-2010",0,0,100,0,,,,,
"Oceania","WLF","Wallis and Futuna Islands","2010-2015",0,0,100,0,,,,,
"Oceania","WLF","Wallis and Futuna Islands","2015-2020",0,0,100,0,,,,,
"Oceania","WSM","Samoa","1990-2000",0,0,100,0,,,,,
"Oceania","WSM","Samoa","2000-2010",0,0,100,0,,,,,
"Oceania","WSM","Samoa","2010-2015",0,0,100,0,,,,,
"Oceania","WSM","Samoa","2015-2020",0,0,100,0,,,,,
"Asia","YEM","Yemen","1990-2000",0,0,100,0,,,,,
"Asia","YEM","Yemen","2000-2010",0,0,100,0,,,,,
"Asia","YEM","Yemen","2010-2015",0,0,100,0,,,,,
"Asia","YEM","Yemen","2015-2020",0,0,100,0,,,,,
"Africa","ZAF","South Africa","1990-2000",0,0,30,70,"362.60","218.00","0.00","399.00","100.00"
"Africa","ZAF","South Africa","2000-2010",0,0,30,70,"362.60","37.00","0.00","399.00","100.00"
"Africa","ZAF","South Africa","2010-2015",0,0,30,70,"162.60","6.00","0.00","199.00","100.00"
"Africa","ZAF","South Africa","2015-2020",0,0,30,70,"162.60","3.00","0.00","199.00","100.00"
"Africa","ZMB","Zambia","1990-2000",0,0,100,0,,,,,
"Africa","ZMB","Zambia","2000-2010",0,0,100,0,"0.45",,,"36.25","0.45"
"Africa","ZMB","Zambia","2010-2015",0,0,100,0,"1.50",,,"189.68","1.75"
"Africa","ZMB","Zambia","2015-2020",0,0,100,0,"1.50",,,"189.71","3.50"
"Africa","ZWE","Zimbabwe","1990-2000",0,0,100,0,"0.00",,,"46.07",
"Africa","ZWE","Zimbabwe","2000-2010",0,0,100,0,"0.00",,,"46.07",
"Africa","ZWE","Zimbabwe","2010-2015",0,0,100,0,"0.00",,,"46.07",
"Africa","ZWE","Zimbabwe","2015-2020",0,0,100,0,"0.00",,,"46.07",
